name,url,author,num_watch,num_stars,num_forks,num_open_issues,last_updated
diversity-index,https://github.com/svaksha/50-DI,svaksha,11,11,3,0,2014-07-25T15:26:52Z
amas,https://github.com/sindresorhus/amas,sindresorhus,194,194,51,0,2015-07-04T11:11:08Z
Annual-Reading-List,https://github.com/davidskeck/Annual-Reading-List,davidskeck,6,6,1,0,2014-07-14T19:01:17Z
awesomebandnames,https://github.com/LycaonIsAWolf/awesomebandnames,LycaonIsAWolf,3,3,2,0,2014-04-11T03:00:34Z
awesome-biology,https://github.com/vivekiitkgp/awesome-biology,vivekiitkgp,4,4,1,2,2014-09-19T07:55:11Z
awesome-fantasy,https://github.com/RichardLitt/awesome-fantasy,RichardLitt,111,111,8,3,2015-04-11T04:59:22Z
awesome-gif,https://github.com/Kikobeats/awesome-gif,Kikobeats,25,25,2,0,2014-11-27T12:11:52Z
awesome-glasgow,https://github.com/allyjweir/awesome-glasgow,allyjweir,2,2,0,0,2014-09-03T22:46:32Z
awesome-health,https://github.com/prabhic/awesome-health,prabhic,6,6,0,0,2014-08-26T09:32:10Z
awesome-images,https://github.com/heyalexej/awesome-images,heyalexej,534,534,80,10,2014-07-27T05:40:45Z
awesome-kimchi,https://github.com/jeyraof/awesome-kimchi,jeyraof,19,19,2,0,2014-10-07T00:58:04Z
awesome-motion-planning,https://github.com/AGV-IIT-KGP/awesome-motion-planning,AGV-IIT-KGP,8,8,2,1,2014-10-17T07:56:17Z
awesome-scifi,https://github.com/sindresorhus/awesome-scifi,sindresorhus,747,747,54,8,2015-01-21T09:40:42Z
awesome-webcomics,https://github.com/dhamaniasad/awesome-webcomics,dhamaniasad,6,6,2,0,2014-10-10T10:38:31Z
baby-sleep,https://github.com/babyguides/baby-sleep,babyguides,0,0,1,0,2014-10-19T03:28:08Z
ahskavs,https://github.com/svaksha/biology,svaksha,2,2,0,0,2014-10-09T05:07:56Z
cocktails,https://github.com/balevine/cocktails,balevine,31,31,11,2,2013-09-30T04:32:16Z
corporate-logos,https://github.com/marketreef/corporate-logos,marketreef,6,6,0,0,2013-04-20T18:56:47Z
creative-commons-media,https://github.com/shime/creative-commons-media,shime,49,49,3,0,2014-09-09T19:43:36Z
dissertation-tips,https://github.com/katychuang/dissertation-tips,katychuang,6,6,0,0,2014-01-01T02:04:11Z
endangered-languages,https://github.com/RichardLitt/endangered-languages,RichardLitt,54,54,18,37,2014-07-23T03:31:30Z
food-recipes,https://github.com/obfuscurity/food-recipes,obfuscurity,18,18,2,1,2012-06-12T20:46:23Z
lawrence-veggie,https://github.com/codysoyland/lawrence-veggie,codysoyland,6,6,0,0,2010-05-08T19:29:39Z
lawyersongithub,https://github.com/dpp/lawyersongithub,dpp,37,37,73,19,2012-11-10T23:42:30Z
mining-resources,https://github.com/Mining-Resources/mining-resources,Mining-Resources,1,1,0,0,2014-07-16T23:22:01Z
PublicMedia,https://github.com/melodykramer/PublicMedia,melodykramer,19,19,32,6,2015-04-03T22:17:16Z
recipes,https://github.com/bzimmerman/recipes,bzimmerman,3,3,15,1,2014-03-06T17:27:27Z
recipes,https://github.com/csswizardry/recipes,csswizardry,32,32,5,1,2012-10-23T19:09:29Z
recipes,https://github.com/csclug/recipes,csclug,5,5,7,1,2013-12-06T14:58:57Z
recipes,https://github.com/LarryMad/recipes,LarryMad,7,7,5555,415,2014-09-30T23:22:08Z
recipes,https://github.com/schacon/recipes,schacon,14,14,32,0,2010-09-23T17:48:55Z
ahskavs,https://github.com/svaksha/scientia,svaksha,2,2,0,0,2014-10-09T05:07:56Z
shelfies,https://github.com/kyro/shelfies,kyro,26,26,3,0,2014-10-02T02:19:58Z
SiliconValleyThingsToDo,https://github.com/cjbarber/SiliconValleyThingsToDo,cjbarber,156,156,3,0,2014-05-29T08:50:30Z
soylent,https://github.com/zda/soylent,zda,229,229,51,2,2013-06-16T05:54:08Z
sf-vegetarian-restaurants,https://github.com/mojombo/sf-vegetarian-restaurants,mojombo,142,142,36,1,2010-03-30T19:39:28Z
teesites,https://github.com/elder-cb/teesites,elder-cb,14,14,10,1,2014-07-16T08:19:00Z
tacofancy,https://github.com/sinker/tacofancy,sinker,848,848,209,4,2013-11-02T23:35:45Z
101,https://github.com/ojas/101,ojas,4,4,0,0,2014-07-30T18:29:15Z
critical-path-css-tools,https://github.com/addyosmani/above-the-fold-css-tools,addyosmani,436,436,12,3,2014-07-19T14:19:02Z
admesh-projects,https://github.com/admesh/admesh-projects,admesh,1,1,0,0,2014-12-16T12:40:30Z
algovis,https://github.com/enjalot/algovis,enjalot,318,318,23,5,2014-09-13T03:31:21Z
alternative-internet,https://github.com/redecentralize/alternative-internet,redecentralize,2272,2272,250,17,2013-07-06T15:38:51Z
android-awesome-libraries,https://github.com/kaiinui/android-awesome-libraries,kaiinui,55,55,7,0,2014-08-09T22:52:21Z
AndroidDevTools,https://github.com/inferjay/AndroidDevTools,inferjay,2442,2442,945,5,2014-06-28T03:36:39Z
android-dev-readme,https://github.com/anirudh24seven/android-dev-readme,anirudh24seven,420,420,52,0,2015-04-15T16:58:31Z
android-jobs,https://github.com/android-cn/android-jobs,android-cn,861,861,340,1,2014-05-20T10:07:58Z
android-open-project,https://github.com/Trinea/android-open-project,Trinea,9576,9576,5506,3,2014-01-05T15:20:15Z
android-security-awesome,https://github.com/ashishb/android-security-awesome,ashishb,456,456,106,0,2014-07-22T19:30:51Z
android-tech-frontier,https://github.com/bboyfeiyu/android-tech-frontier,bboyfeiyu,2473,2473,857,14,2015-03-20T00:36:37Z
angular-education,https://github.com/timjacobi/angular-education,timjacobi,591,591,67,1,2014-06-03T15:29:39Z
angular2-education,https://github.com/timjacobi/angular2-education,timjacobi,1952,1952,179,0,2015-04-12T14:54:19Z
ansible-gentoo-roles,https://github.com/jirutka/ansible-gentoo-roles,jirutka,2,2,0,0,2014-09-20T16:30:07Z
app-launch-guide,https://github.com/adamwulf/app-launch-guide,adamwulf,3252,3252,180,6,2015-02-19T16:17:34Z
APTnotes,https://github.com/kbandla/APTnotes,kbandla,652,652,178,16,2013-09-26T01:31:02Z
Automated-SPA-Testing,https://github.com/webpro/Automated-SPA-Testing,webpro,80,80,4,0,2013-07-01T19:43:46Z
awesomelinks,https://github.com/richardbenjamin/awesomelinks,richardbenjamin,2,2,1,0,2014-03-06T02:48:28Z
Backpack,https://github.com/sevab/Backpack,sevab,2,2,0,0,2013-09-15T09:31:15Z
badass-dev-resources,https://github.com/sodevious/badass-dev-resources,sodevious,3,3,0,0,2014-10-03T18:51:31Z
beautiful-docs,https://github.com/PharkMillups/beautiful-docs,PharkMillups,2361,2361,178,22,2012-01-04T22:23:26Z
BEM-resources,https://github.com/sturobson/BEM-resources,sturobson,75,75,2,0,2015-04-05T10:52:15Z
best-of-awesomeness-and-usefulness-for-webdev,https://github.com/Pestov/best-of-awesomeness-and-usefuless-for-webdev,Pestov,253,253,33,1,2014-09-01T07:43:21Z
Best-App,https://github.com/hzlzh/Best-App,hzlzh,4367,4367,648,7,2013-08-30T14:32:19Z
bigdata-ecosystem,https://github.com/zenkay/bigdata-ecosystem,zenkay,143,143,32,0,2014-08-02T10:26:45Z
bioinformatics-compbio-tools,https://github.com/lancelafontaine/bioinformatics-tool-list,lancelafontaine,18,18,3,0,2014-09-10T20:11:09Z
bitcoin-reading-list,https://github.com/jashmenn/bitcoin-reading-list,jashmenn,188,188,38,4,2014-03-25T16:53:21Z
bookmarklets,https://github.com/RadLikeWhoa/bookmarklets,RadLikeWhoa,24,24,7,0,2013-08-07T16:27:18Z
bookshelf,https://github.com/OpenTechSchool/bookshelf,OpenTechSchool,15,15,19,5,2012-11-15T10:47:07Z
browser-javascript-resource,https://github.com/azu/browser-javascript-resource,azu,70,70,2,1,2015-07-12T02:26:20Z
channels,https://github.com/forwebdev/channels,forwebdev,452,452,96,1,2015-01-14T10:52:53Z
awesome-ciandcd,https://github.com/itech001/ciandcd,ciandcd,80,80,10,2,2014-11-23T04:36:38Z
content-management-systems,https://github.com/ahadb/content-management-systems,ahadb,4,4,1,0,2014-07-15T00:38:57Z
Continuous-Integration-services,https://github.com/ligurio/Continuous-Integration-services,ligurio,40,40,9,0,2014-10-28T07:07:56Z
crypto-might-not-suck,https://github.com/sweis/crypto-might-not-suck,sweis,80,80,2,0,2014-07-22T03:32:07Z
css-resources,https://github.com/hr-14-15/css-resources,hr-14-15,4,4,3,0,2014-06-29T21:16:52Z
curated-list-espresso-sugar-plugins,https://github.com/GioSensation/curated-list-espresso-sugar-plugins,GioSensation,6,6,0,0,2014-07-24T15:24:52Z
Curated-List-of-Awesomeness,https://github.com/JayBizzle/Curated-List-of-Awesomeness,JayBizzle,7,7,0,0,2014-07-28T10:19:40Z
curated-programming-resources,https://github.com/Michael0x2a/curated-programming-resources,Michael0x2a,143,143,22,5,2014-12-25T03:43:27Z
digest.cyber.fund,https://github.com/cyberFund/cyberDigest,cyberFund,20,20,6,1,2014-07-02T07:18:56Z
awesome-lint,https://github.com/CarameloMartins/daemon,caramelomartins,4,4,1,0,2014-02-20T19:30:15Z
datajournalists-toolbox,https://github.com/basilesimon/datajournalists-toolbox,basilesimon,18,18,3,0,2014-06-09T16:02:31Z
data-science-blogs,https://github.com/rushter/data-science-blogs,rushter,1761,1761,136,2,2015-08-05T11:58:14Z
go,https://github.com/datasciencemasters/go,datasciencemasters,3710,3710,2192,18,2013-08-14T08:33:55Z
Developer-Conferences,https://github.com/MurtzaM/Developer-Conferences,MurtzaM,69,69,14,6,2014-05-04T04:17:28Z
devopsbookmarks.com,https://github.com/devopsbookmarks/devopsbookmarks.com,devopsbookmarks,263,263,87,17,2014-11-06T13:59:32Z
devops_resources,https://github.com/dustinmm80/devops_resources,dustinmm80,19,19,6,0,2014-03-04T00:45:56Z
dev-resource,https://github.com/Ibrahim-Islam/dev-resource,Ibrahim-Islam,8,8,2,0,2014-07-10T19:03:55Z
discount-for-student-dev,https://github.com/najela/discount-for-student-dev,najela,171,171,18,1,2015-04-19T23:46:40Z
django-must-watch,https://github.com/rosarior/django-must-watch,rosarior,505,505,39,0,2014-08-12T17:05:07Z
awesome-edtech-tools,https://github.com/hkalant/EducationalToolsResources,hkalant,7,7,0,0,2014-07-16T23:28:55Z
list,https://github.com/ember-links/list,ember-links,121,121,11,0,2014-09-28T10:37:19Z
erlang-bookmarks,https://github.com/0xAX/erlang-bookmarks,0xAX,785,785,151,0,2013-08-31T19:21:44Z
erlang-watchlist,https://github.com/gabrielelana/erlang-watchlist,gabrielelana,2,2,0,1,2014-10-06T14:14:37Z
