name,url,author,num_watch,num_stars,num_forks,num_open_issues,last_updated,last_push
amas,https://github.com/sindresorhus/amas,sindresorhus,26,285,74,0,2015-10-10T21:25:38Z,2015-10-09T06:26:44Z
Annual-Reading-List,https://github.com/davidskeck/Annual-Reading-List,davidskeck,6,20,3,0,2015-08-24T11:45:41Z,2015-10-05T01:54:30Z
awesomebandnames,https://github.com/LycaonIsAWolf/awesomebandnames,LycaonIsAWolf,1,6,5,2,2015-08-18T11:09:50Z,2015-08-19T18:24:50Z
awesome-biology,https://github.com/vivekiitkgp/awesome-biology,vivekiitkgp,3,5,1,2,2015-08-18T16:50:02Z,2015-09-24T17:01:47Z
awesome-fantasy,https://github.com/RichardLitt/awesome-fantasy,RichardLitt,10,137,10,1,2015-10-09T18:28:16Z,2015-09-07T15:03:08Z
awesome-gif,https://github.com/Kikobeats/awesome-gif,Kikobeats,3,38,3,0,2015-09-29T13:57:33Z,2015-08-18T08:41:53Z
awesome-glasgow,https://github.com/allyjweir/awesome-glasgow,allyjweir,1,2,0,0,2015-08-14T14:53:48Z,2014-09-03T22:57:16Z
awesome-health,https://github.com/prabhic/awesome-health,prabhic,3,10,0,0,2015-09-04T09:44:45Z,2015-06-25T09:44:16Z
awesome-images,https://github.com/heyalexej/awesome-images,heyalexej,61,649,86,13,2015-10-11T02:54:17Z,2015-08-19T14:47:03Z
awesome-kimchi,https://github.com/jeyraof/awesome-kimchi,jeyraof,1,26,2,0,2015-08-21T12:36:48Z,2014-10-28T06:28:27Z
awesome-motion-planning,https://github.com/AGV-IIT-KGP/awesome-motion-planning,AGV-IIT-KGP,24,9,3,1,2015-08-15T22:16:32Z,2015-07-31T19:17:17Z
awesome-scifi,https://github.com/sindresorhus/awesome-scifi,sindresorhus,57,825,64,0,2015-10-11T09:46:56Z,2015-10-08T20:18:57Z
awesome-webcomics,https://github.com/dhamaniasad/awesome-webcomics,dhamaniasad,1,10,3,0,2015-09-17T19:46:05Z,2015-08-19T19:44:24Z
baby-sleep,https://github.com/babyguides/baby-sleep,babyguides,1,2,1,0,2015-08-16T22:10:48Z,2014-10-19T04:08:07Z
ahskavs,https://github.com/svaksha/biology,svaksha,2,2,0,0,2015-07-10T15:30:32Z,2015-10-08T13:18:37Z
cocktails,https://github.com/balevine/cocktails,balevine,10,37,11,2,2015-08-23T12:52:53Z,2015-04-01T23:08:51Z
corporate-logos,https://github.com/marketreef/corporate-logos,marketreef,1,8,0,0,2015-08-15T22:17:44Z,2013-04-30T22:31:07Z
creative-commons-media,https://github.com/shime/creative-commons-media,shime,6,68,4,0,2015-10-10T03:36:39Z,2015-08-06T08:55:05Z
dissertation-tips,https://github.com/katychuang/dissertation-tips,katychuang,1,8,0,0,2015-08-19T18:06:30Z,2014-07-21T22:29:50Z
diversity-index,https://github.com/svaksha/diversity-index,svaksha,9,25,4,0,2015-09-27T17:38:15Z,2015-10-08T13:01:52Z
endangered-languages,https://github.com/RichardLitt/endangered-languages,RichardLitt,14,62,18,39,2015-10-08T03:56:57Z,2015-10-07T23:53:39Z
food-recipes,https://github.com/obfuscurity/food-recipes,obfuscurity,1,19,4,1,2015-08-17T13:20:36Z,2015-05-11T00:18:46Z
lawrence-veggie,https://github.com/codysoyland/lawrence-veggie,codysoyland,2,7,0,0,2015-08-17T04:25:15Z,2010-05-09T04:31:51Z
lawyersongithub,https://github.com/dpp/lawyersongithub,dpp,24,39,75,20,2015-10-07T02:53:54Z,2015-09-14T16:11:24Z
mining-resources,https://github.com/Mining-Resources/mining-resources,Mining-Resources,1,1,0,0,2015-02-26T03:07:50Z,2015-08-18T05:20:56Z
PublicMedia,https://github.com/melodykramer/PublicMedia,melodykramer,18,20,32,6,2015-08-16T17:08:42Z,2015-07-28T12:47:45Z
recipes,https://github.com/bzimmerman/recipes,bzimmerman,1,3,16,1,2015-08-14T14:53:07Z,2015-08-17T13:59:23Z
recipes,https://github.com/csswizardry/recipes,csswizardry,2,33,5,1,2015-08-23T23:26:26Z,2014-07-19T15:17:13Z
recipes,https://github.com/csclug/recipes,csclug,8,5,7,1,2014-09-09T04:13:03Z,2014-01-09T16:27:25Z
recipes,https://github.com/LarryMad/recipes,LarryMad,4,9,6624,519,2015-09-30T15:01:08Z,2015-10-11T20:25:06Z
recipes,https://github.com/schacon/recipes,schacon,2,14,32,0,2013-12-23T12:22:15Z,2011-08-18T18:50:48Z
ahskavs,https://github.com/svaksha/scientia,svaksha,2,2,0,0,2015-07-10T15:30:32Z,2015-10-08T13:18:37Z
shelfies,https://github.com/kyro/shelfies,kyro,9,26,3,0,2015-07-20T19:17:36Z,2014-10-20T14:57:50Z
SiliconValleyThingsToDo,https://github.com/cjbarber/SiliconValleyThingsToDo,cjbarber,7,160,3,0,2015-09-15T15:11:02Z,2014-11-14T17:59:55Z
soylent,https://github.com/zda/soylent,zda,45,236,50,2,2015-09-26T10:09:57Z,2013-11-16T11:47:42Z
sf-vegetarian-restaurants,https://github.com/mojombo/sf-vegetarian-restaurants,mojombo,2,143,36,1,2015-10-06T18:07:26Z,2011-07-13T23:52:48Z
teesites,https://github.com/elder-cb/teesites,elder-cb,4,16,11,0,2015-09-07T14:17:56Z,2015-08-24T13:28:05Z
tacofancy,https://github.com/sinker/tacofancy,sinker,69,861,219,7,2015-10-11T22:12:50Z,2015-10-11T02:00:45Z
101,https://github.com/ojas/101,ojas,2,23,1,0,2015-09-23T00:11:34Z,2015-08-06T17:53:32Z
critical-path-css-tools,https://github.com/addyosmani/above-the-fold-css-tools,addyosmani,32,466,13,2,2015-10-10T06:50:42Z,2015-08-24T17:26:23Z
admesh-projects,https://github.com/admesh/admesh-projects,admesh,2,1,0,0,2014-12-22T15:46:27Z,2015-05-22T19:59:11Z
algovis,https://github.com/enjalot/algovis,enjalot,36,388,27,5,2015-10-11T19:00:44Z,2015-09-07T21:34:58Z
alternative-internet,https://github.com/redecentralize/alternative-internet,redecentralize,251,2333,259,20,2015-10-11T02:21:47Z,2015-10-07T14:44:08Z
android-awesome-libraries,https://github.com/kaiinui/android-awesome-libraries,kaiinui,3,67,8,0,2015-10-08T17:32:32Z,2014-11-07T15:54:49Z
AndroidDevTools,https://github.com/inferjay/AndroidDevTools,inferjay,455,2750,1056,4,2015-10-11T13:40:51Z,2015-10-07T14:20:11Z
android-dev-readme,https://github.com/anirudh24seven/android-dev-readme,anirudh24seven,36,437,55,0,2015-10-07T17:32:51Z,2015-05-01T10:12:33Z
android-jobs,https://github.com/android-cn/android-jobs,android-cn,405,952,357,1,2015-10-11T11:06:30Z,2015-09-25T02:40:55Z
android-open-project,https://github.com/Trinea/android-open-project,Trinea,2291,10767,6204,4,2015-10-11T17:50:38Z,2015-10-09T00:02:01Z
android-security-awesome,https://github.com/ashishb/android-security-awesome,ashishb,81,647,138,0,2015-10-10T03:16:22Z,2015-10-11T22:24:22Z
android-tech-frontier,https://github.com/bboyfeiyu/android-tech-frontier,bboyfeiyu,502,2834,1033,28,2015-10-11T15:26:27Z,2015-10-10T12:58:08Z
angular-education,https://github.com/timjacobi/angular-education,timjacobi,53,615,67,1,2015-10-08T09:33:52Z,2015-07-15T08:34:58Z
angular2-education,https://github.com/timjacobi/angular2-education,timjacobi,207,2172,206,3,2015-10-11T22:01:15Z,2015-10-08T16:54:31Z
angularjs-fellows,https://github.com/famousky/angularjs-fellows,01010000101001100,1,2,7,0,2015-08-21T11:48:04Z,2014-01-21T06:46:53Z
AngularJS-Learning,https://github.com/jmcunningham/AngularJS-Learning,jmcunningham,873,9204,1768,7,2015-10-11T20:32:43Z,2015-10-09T12:02:44Z
AngularJS2-Learning,https://github.com/jmcunningham/AngularJS2-Learning,jmcunningham,17,64,11,0,2015-10-11T17:20:08Z,2015-09-15T19:46:13Z
ansible-gentoo-roles,https://github.com/jirutka/ansible-gentoo-roles,jirutka,1,3,0,0,2015-08-15T10:38:05Z,2015-10-06T22:32:51Z
app-launch-guide,https://github.com/adamwulf/app-launch-guide,adamwulf,183,3297,185,6,2015-10-11T21:25:16Z,2015-07-02T05:18:40Z
APTnotes,https://github.com/kbandla/APTnotes,kbandla,357,803,226,32,2015-10-11T12:41:47Z,2015-09-14T09:55:10Z
Automated-SPA-Testing,https://github.com/webpro/Automated-SPA-Testing,webpro,6,83,4,0,2015-08-29T09:07:42Z,2014-08-06T14:03:17Z
awesomelinks,https://github.com/richardbenjamin/awesomelinks,richardbenjamin,1,5,1,1,2015-09-02T03:58:21Z,2015-10-02T22:02:14Z
Backpack,https://github.com/sevab/Backpack,sevab,2,6,0,0,2015-08-21T22:15:26Z,2015-09-28T22:50:58Z
badass-dev-resources,https://github.com/sodevious/badass-dev-resources,sodevious,1,4,0,0,2015-08-21T10:13:24Z,2014-10-03T19:55:00Z
bangalore-startups,https://github.com/hemanth/bangalore-startups,hemanth,2,9,1,1,2015-10-07T08:38:44Z,2015-10-08T09:30:29Z
beautiful-docs,https://github.com/PharkMillups/beautiful-docs,PharkMillups,133,2474,186,5,2015-10-10T20:22:33Z,2015-08-27T20:03:43Z
BEM-resources,https://github.com/sturobson/BEM-resources,sturobson,11,118,2,0,2015-10-06T16:03:11Z,2015-10-07T14:49:51Z
best-of-awesomeness-and-usefulness-for-webdev,https://github.com/Pestov/best-of-awesomeness-and-usefuless-for-webdev,Pestov,37,273,34,1,2015-09-30T06:49:46Z,2015-02-20T14:46:31Z
Best-App,https://github.com/hzlzh/Best-App,hzlzh,775,4807,727,8,2015-10-11T16:12:03Z,2015-10-09T08:41:26Z
bigdata-ecosystem,https://github.com/zenkay/bigdata-ecosystem,zenkay,49,177,37,0,2015-10-11T18:32:58Z,2015-06-13T05:51:16Z
big-list-of-naughty-strings,https://github.com/minimaxir/big-list-of-naughty-strings,minimaxir,253,8887,360,10,2015-10-11T09:22:16Z,2015-09-29T08:07:40Z
bioinformatics-compbio-tools,https://github.com/lancelafontaine/bioinformatics-tool-list,lancelafontaine,1,20,3,0,2015-08-19T05:37:22Z,2015-04-29T23:36:03Z
bitcoin-reading-list,https://github.com/jashmenn/bitcoin-reading-list,jashmenn,39,201,45,4,2015-10-09T08:15:14Z,2014-07-14T16:57:39Z
bookmarklets,https://github.com/RadLikeWhoa/bookmarklets,RadLikeWhoa,3,26,7,0,2015-10-09T19:54:48Z,2015-06-01T07:13:41Z
bookshelf,https://github.com/OpenTechSchool/bookshelf,OpenTechSchool,7,16,19,5,2015-08-21T17:20:45Z,2015-04-16T13:37:18Z
browser-javascript-resource,https://github.com/azu/browser-javascript-resource,azu,20,74,2,1,2015-08-31T08:37:41Z,2015-09-26T01:56:01Z
channels,https://github.com/forwebdev/channels,forwebdev,182,469,101,1,2015-10-11T20:27:12Z,2015-08-28T10:54:52Z
awesome-ciandcd,https://github.com/itech001/ciandcd,ciandcd,18,104,12,4,2015-10-10T03:36:16Z,2015-10-08T14:10:51Z
codeface,https://github.com/chrissimpkins/codeface,chrissimpkins,101,2188,135,21,2015-10-11T15:32:19Z,2015-09-13T04:35:40Z
computer-science,https://github.com/open-source-society/computer-science-and-engineering,open-source-society,520,6569,625,2,2015-10-11T23:58:25Z,2015-10-11T19:13:16Z
content-management-systems,https://github.com/ahadb/content-management-systems,ahadb,1,6,1,0,2015-08-18T01:49:16Z,2014-08-06T07:04:58Z
Continuous-Integration-services,https://github.com/ligurio/Continuous-Integration-services,ligurio,5,51,13,0,2015-10-11T22:43:49Z,2015-10-06T06:51:10Z
crypto-might-not-suck,https://github.com/sweis/crypto-might-not-suck,sweis,12,99,2,0,2015-09-30T05:00:30Z,2015-08-26T02:38:15Z
cscs,https://github.com/SalGnt/cscs,SalGnt,58,999,83,7,2015-10-11T23:06:49Z,2015-09-13T21:26:07Z
css-resources,https://github.com/hr-14-15/css-resources,hr-14-15,15,6,2,0,2015-09-23T01:11:07Z,2014-06-30T14:53:39Z
curated-list-espresso-sugar-plugins,https://github.com/GioSensation/curated-list-espresso-sugar-plugins,GioSensation,3,6,0,0,2015-04-08T23:38:11Z,2014-08-20T18:56:46Z
Curated-List-of-Awesomeness,https://github.com/JayBizzle/Curated-List-of-Awesomeness,JayBizzle,2,9,0,0,2015-08-18T02:01:58Z,2014-08-15T09:34:28Z
curated-programming-resources,https://github.com/Michael0x2a/curated-programming-resources,Michael0x2a,26,192,36,3,2015-10-11T02:05:04Z,2015-09-19T18:51:54Z
digest.cyber.fund,https://github.com/cyberFund/cyberDigest,cyberFund,18,22,6,1,2015-08-26T20:36:18Z,2015-04-26T00:49:04Z
dad-jokes,https://github.com/wesbos/dad-jokes,wesbos,5,39,3,0,2015-09-26T01:19:13Z,2014-08-19T15:09:34Z
awesome-lint,https://github.com/CarameloMartins/daemon,caramelomartins,4,6,1,0,2015-08-26T00:10:33Z,2015-08-26T00:08:30Z
datajournalists-toolbox,https://github.com/basilesimon/datajournalists-toolbox,basilesimon,3,20,3,0,2015-10-10T22:25:46Z,2015-05-14T13:28:54Z
data-science-blogs,https://github.com/rushter/data-science-blogs,rushter,181,2153,191,1,2015-10-11T20:38:11Z,2015-10-11T13:57:46Z
go,https://github.com/datasciencemasters/go,datasciencemasters,653,3876,2341,24,2015-10-11T22:41:54Z,2015-10-03T13:52:41Z
debugging-stories,https://github.com/danluu/debugging-stories,danluu,109,1419,63,7,2015-10-11T22:08:01Z,2015-10-05T04:55:06Z
Developer-Conferences,https://github.com/MurtzaM/Developer-Conferences,MurtzaM,28,76,15,5,2015-10-11T20:46:29Z,2015-09-09T20:38:40Z
devopsbookmarks.com,https://github.com/devopsbookmarks/devopsbookmarks.com,devopsbookmarks,26,276,91,17,2015-10-06T05:53:35Z,2015-09-07T08:03:22Z
devops_resources,https://github.com/dustinmm80/devops_resources,dustinmm80,8,23,6,0,2015-10-03T09:02:18Z,2015-06-01T15:00:46Z
